,FormInstanceId,ReportId,ModeId,ServiceId,CreatedDate,ActiveFl,ReportStageId,ReportYearId,ReporterId,ReportYear
0,1147225,69057,10,2,2011-09-01 06:38:52,A,6,30385,661,2011
1,1147231,69057,4,2,2011-09-01 06:38:53,A,6,30385,661,2011
2,1147237,69057,23,2,2011-09-01 06:38:53,A,6,30385,661,2011
3,1147254,69717,10,1,2011-09-01 07:57:22,A,6,30703,1375,2011
4,1147285,70124,3,1,2011-09-01 08:34:07,A,6,30927,1681,2011
5,1147293,70124,4,2,2011-09-01 08:34:07,A,6,30927,1681,2011
6,1147299,70124,10,1,2011-09-01 08:34:07,A,6,30927,1681,2011
7,1147307,70124,13,1,2011-09-01 08:34:07,A,6,30927,1681,2011
8,1147315,70124,6,1,2011-09-01 08:34:07,A,6,30927,1681,2011
9,1147323,70124,26,1,2011-09-01 08:34:07,A,6,30927,1681,2011
10,1147341,71766,23,2,2011-09-01 08:46:20,A,6,31788,10863,2011
11,1147345,71766,10,1,2011-09-01 08:46:20,A,6,31788,10863,2011
12,1147353,71766,4,1,2011-09-01 08:46:20,A,6,31788,10863,2011
13,1147391,69078,10,2,2011-09-01 09:26:01,A,6,30406,1542,2011
14,1147397,69078,4,2,2011-09-01 09:26:01,A,6,30406,1542,2011
15,1147403,69078,10,1,2011-09-01 09:26:01,A,6,30406,1542,2011
16,1147428,71033,10,2,2011-09-01 09:34:54,A,6,31271,1338,2011
17,1147435,71033,4,2,2011-09-01 09:34:54,A,6,31271,1338,2011
18,1147441,71033,4,1,2011-09-01 09:34:54,A,6,31271,1338,2011
19,1147457,71394,10,1,2011-09-01 09:37:23,A,6,31467,1599,2011
20,1147464,71394,4,1,2011-09-01 09:37:23,A,6,31467,1599,2011
21,1147481,69615,4,1,2011-09-01 10:03:03,A,6,30643,1249,2011
22,1147488,69615,10,1,2011-09-01 10:03:04,A,6,30643,1249,2011
23,1147504,69092,25,1,2011-09-01 10:05:02,A,6,30420,1672,2011
24,1147511,69092,4,2,2011-09-01 10:05:02,A,6,30420,1672,2011
25,1147546,69275,10,1,2011-09-01 10:28:53,A,6,30543,1376,2011
26,1147563,70667,4,2,2011-09-01 10:32:09,A,6,31132,1199,2011
27,1147569,70667,10,1,2011-09-01 10:32:09,A,6,31132,1199,2011
28,1147603,69045,4,2,2011-09-01 10:36:56,A,6,30373,1247,2011
29,1147609,69045,23,2,2011-09-01 10:36:57,A,6,30373,1247,2011
30,1147613,69045,10,1,2011-09-01 10:36:57,A,6,30373,1247,2011
31,1147620,69045,4,1,2011-09-01 10:36:57,A,6,30373,1247,2011
32,1147642,69276,10,1,2011-09-01 10:48:40,A,6,30544,1377,2011
33,1147670,70194,4,2,2011-09-01 10:50:42,A,6,30946,1740,2011
34,1147676,70194,23,2,2011-09-01 10:50:43,A,6,30946,1740,2011
35,1147680,70194,10,1,2011-09-01 10:50:43,A,6,30946,1740,2011
36,1147688,70194,27,2,2011-09-01 10:50:43,A,6,30946,1740,2011
37,1147695,70194,9,1,2011-09-01 10:50:43,A,6,30946,1740,2011
38,1147703,70194,26,1,2011-09-01 10:50:43,A,6,30946,1740,2011
39,1147744,71143,10,2,2011-09-01 11:04:44,A,6,31324,1524,2011
40,1147751,71143,4,2,2011-09-01 11:04:44,A,6,31324,1524,2011
41,1147757,71143,10,1,2011-09-01 11:04:44,A,6,31324,1524,2011
42,1147765,71143,3,2,2011-09-01 11:04:44,A,6,31324,1524,2011
43,1147772,71143,13,1,2011-09-01 11:04:44,A,6,31324,1524,2011
44,1147780,71143,5,2,2011-09-01 11:04:44,A,6,31324,1524,2011
45,1147787,71143,6,1,2011-09-01 11:04:44,A,6,31324,1524,2011
46,1147795,71143,9,1,2011-09-01 11:04:44,A,6,31324,1524,2011
47,1147824,71604,10,2,2011-09-01 11:19:21,A,6,31615,1638,2011
48,1147830,71604,4,2,2011-09-01 11:19:21,A,6,31615,1638,2011
49,1147836,71604,23,2,2011-09-01 11:19:21,A,6,31615,1638,2011
50,1147840,71604,10,1,2011-09-01 11:19:21,A,6,31615,1638,2011
51,1147867,69507,10,2,2011-09-01 11:25:05,A,6,30596,1647,2011
52,1147873,69507,4,2,2011-09-01 11:25:05,A,6,30596,1647,2011
53,1147879,69507,23,2,2011-09-01 11:25:05,A,6,30596,1647,2011
54,1147883,69507,10,1,2011-09-01 11:25:05,A,6,30596,1647,2011
55,1147913,69476,10,1,2011-09-01 11:48:48,A,6,30583,1634,2011
56,1147920,69476,14,1,2011-09-01 11:48:48,A,6,30583,1634,2011
57,1147927,69476,4,1,2011-09-01 11:48:48,A,6,30583,1634,2011
58,1147953,69375,10,2,2011-09-01 11:51:50,A,6,30568,1601,2011
59,1147959,69375,3,2,2011-09-01 11:51:50,A,6,30568,1601,2011
60,1147988,69231,4,1,2011-09-01 12:40:12,A,6,30509,12040,2011
61,1148013,71607,10,2,2011-09-01 13:19:03,A,6,31618,1509,2011
62,1148020,71607,14,2,2011-09-01 13:19:03,A,6,31618,1509,2011
63,1148026,71607,10,1,2011-09-01 13:19:03,A,6,31618,1509,2011
64,1148034,71607,6,1,2011-09-01 13:19:03,A,6,31618,1509,2011
65,1148042,71607,9,1,2011-09-01 13:19:03,A,6,31618,1509,2011
66,1148086,71042,10,1,2011-09-01 14:56:59,A,6,31276,1231,2011
67,1148093,71042,4,1,2011-09-01 14:56:59,A,6,31276,1231,2011
68,1148100,71042,9,1,2011-09-01 14:56:59,A,6,31276,1231,2011
69,1148127,69721,23,2,2011-09-01 15:13:34,A,6,30707,1255,2011
70,1148131,69721,10,1,2011-09-01 15:13:34,A,6,30707,1255,2011
71,1148164,71325,10,1,2011-09-01 15:51:44,A,6,31422,1704,2011
72,1148171,71325,4,1,2011-09-01 15:51:44,A,6,31422,1704,2011
73,1148195,69539,10,2,2011-09-01 15:57:15,A,6,30603,963,2011
74,1148201,69539,4,2,2011-09-01 15:57:15,A,6,30603,963,2011
75,1148207,69539,10,1,2011-09-01 15:57:15,A,6,30603,963,2011
76,1148214,69539,4,1,2011-09-01 15:57:15,A,6,30603,963,2011
77,1148259,71418,4,2,2011-09-01 17:04:34,A,6,31479,1263,2011
78,1148265,71418,10,1,2011-09-01 17:04:34,A,6,31479,1263,2011
79,1148287,66500,10,1,2011-09-01 17:57:39,A,6,28874,1743,2011
80,1148335,71608,10,2,2011-09-02 05:17:48,A,6,31619,785,2011
81,1148341,71608,4,2,2011-09-02 05:17:49,A,6,31619,785,2011
82,1148363,71387,10,1,2011-09-02 09:51:43,A,6,31460,1722,2011
83,1148370,71387,23,2,2011-09-02 09:51:44,A,6,31460,1722,2011
84,1148374,71387,4,1,2011-09-02 09:51:44,A,6,31460,1722,2011
85,1148390,69229,10,2,2011-09-02 10:07:18,A,6,30507,1516,2011
86,1148396,69229,4,2,2011-09-02 10:07:18,A,6,30507,1516,2011
87,1148402,69229,14,2,2011-09-02 10:07:18,A,6,30507,1516,2011
88,1148425,71538,10,1,2011-09-02 11:35:44,A,6,31551,1221,2011
89,1148432,71538,4,1,2011-09-02 11:35:44,A,6,31551,1221,2011
